0.319898,-0.250000,-0.200000,0.7464828284,-0.1794605974,0.6229969168,0.1497735710,0.8763560920,-0.4472135955,-0.1788854382,0.0000000000
0.329983,-0.229167,-0.200000,0.7500937041,-0.1637136344,0.6260104683,0.1366315280,0.8943961340,-0.4099457959,-0.1788854382,0.0000000000
0.339016,-0.208333,-0.200000,0.7533134277,-0.1481944626,0.6286975735,0.1236795942,0.9105553861,-0.3726779962,-0.1788854382,0.0000000000
0.347053,-0.187500,-0.200000,0.7561665224,-0.1328717786,0.6310786988,0.1108916445,0.9249324300,-0.3354101966,-0.1788854382,0.0000000000
0.354140,-0.166667,-0.200000,0.7586733106,-0.1177179975,0.6331708050,0.0982446571,0.9376092529,-0.2981423970,-0.1788854382,0.0000000000
0.360314,-0.145833,-0.200000,0.7608506335,-0.1027084839,0.6349879472,0.0857180720,0.9486540172,-0.2608745974,-0.1788854382,0.0000000000
0.365607,-0.125000,-0.200000,0.7627123966,-0.0878209499,0.6365417306,0.0732932881,0.9581231654,-0.2236067977,-0.1788854382,0.0000000000
0.370046,-0.104167,-0.200000,0.7642699860,-0.0730349750,0.6378416580,0.0609532631,0.9660630299,-0.1863389981,-0.1788854382,0.0000000000
0.373650,-0.083333,-0.200000,0.7655325871,-0.0583316141,0.6388953949,0.0486821858,0.9725110682,-0.1490711985,-0.1788854382,0.0000000000
0.376437,-0.062500,-0.200000,0.7665074263,-0.0436930712,0.6397089727,0.0364652041,0.9774968031,-0.1118033989,-0.1788854382,0.0000000000
0.378419,-0.041667,-0.200000,0.7671999532,-0.0291024206,0.6402869393,0.0242881921,0.9810425294,-0.0745355992,-0.1788854382,0.0000000000
0.379605,-0.020833,-0.200000,0.7676139718,-0.0145433620,0.6406324694,0.0121375460,0.9831638272,-0.0372677996,-0.1788854382,0.0000000000
0.380000,0.000000,-0.200000,0.7677517301,0.0000000000,0.6407474392,0.0000000000,0.9838699101,0.0000000000,-0.1788854382,0.0000000000
0.379605,0.020833,-0.200000,0.7676139718,0.0145433620,0.6406324694,-0.0121375460,0.9831638272,0.0372677996,-0.1788854382,0.0000000000
0.378419,0.041667,-0.200000,0.7671999532,0.0291024206,0.6402869393,-0.0242881921,0.9810425294,0.0745355992,-0.1788854382,0.0000000000
0.376437,0.062500,-0.200000,0.7665074263,0.0436930712,0.6397089727,-0.0364652041,0.9774968031,0.1118033989,-0.1788854382,0.0000000000
0.373650,0.083333,-0.200000,0.7655325871,0.0583316141,0.6388953949,-0.0486821858,0.9725110682,0.1490711985,-0.1788854382,0.0000000000
0.370046,0.104167,-0.200000,0.7642699860,0.0730349750,0.6378416580,-0.0609532631,0.9660630299,0.1863389981,-0.1788854382,0.0000000000
0.365607,0.125000,-0.200000,0.7627123966,0.0878209499,0.6365417306,-0.0732932881,0.9581231654,0.2236067977,-0.1788854382,0.0000000000
0.360314,0.145833,-0.200000,0.7608506335,0.1027084839,0.6349879472,-0.0857180720,0.9486540172,0.2608745974,-0.1788854382,0.0000000000
0.354140,0.166667,-0.200000,0.7586733106,0.1177179975,0.6331708050,-0.0982446571,0.9376092529,0.2981423970,-0.1788854382,0.0000000000
0.347053,0.187500,-0.200000,0.7561665224,0.1328717786,0.6310786988,-0.1108916445,0.9249324300,0.3354101966,-0.1788854382,0.0000000000
0.339016,0.208333,-0.200000,0.7533134277,0.1481944626,0.6286975735,-0.1236795942,0.9105553861,0.3726779962,-0.1788854382,0.0000000000
0.329983,0.229167,-0.200000,0.7500937041,0.1637136344,0.6260104683,-0.1366315280,0.8943961340,0.4099457959,-0.1788854382,0.0000000000
0.319898,0.250000,-0.200000,0.7464828284,0.1794605974,0.6229969168,-0.1497735710,0.8763560920,0.4472135955,-0.1788854382,0.0000000000
0.323204,0.250000,-0.163636,0.7363638330,0.1770279079,0.6349252530,-0.1526412409,0.8810284668,0.4495979568,-0.1471411495,0.0000000000
0.333288,0.229167,-0.163636,0.7399257613,0.1614944039,0.6379965040,-0.1392475712,0.8991646910,0.4121314604,-0.1471411495,0.0000000000
0.342322,0.208333,-0.163636,0.7431018397,0.1461856032,0.6407350584,-0.1260476505,0.9154100977,0.3746649640,-0.1471411495,0.0000000000
0.350359,0.187500,-0.163636,0.7459162591,0.1310706268,0.6431617744,-0.1130148537,0.9298637941,0.3371984676,-0.1471411495,0.0000000000
0.357445,0.166667,-0.163636,0.7483890663,0.1161222637,0.6452939375,-0.1001257183,0.9426082047,0.2997319712,-0.1471411495,0.0000000000
0.363620,0.145833,-0.163636,0.7505368744,0.1013162125,0.6471458720,-0.0873592903,0.9537118553,0.2622654748,-0.1471411495,0.0000000000
0.368913,0.125000,-0.163636,0.7523734002,0.0866304874,0.6487294053,-0.0746966129,0.9632314890,0.2247989784,-0.1471411495,0.0000000000
0.373351,0.104167,-0.163636,0.7539098757,0.0720449447,0.6500542219,-0.0621203170,0.9712136857,0.1873324820,-0.1471411495,0.0000000000
