0.4249920000,0.0020000000,0.5000000000,0.7071011246,0.0028283592,0.7071011246,-0.0028283592,0.9999680015,0.0079997440,0.0000000000
0.4249819751,0.0030019602,0.5000263432,0.7070567853,0.0042449597,0.7071312885,-0.0042454070,0.9999279081,0.0120069752,0.0001053653
0.4249680479,0.0039956225,0.5001052275,0.7069354012,0.0056489333,0.7072329820,-0.0056513112,0.9998722159,0.0159804478,0.0004208563
0.4249504324,0.0049727272,0.5002362174,0.7067377620,0.0070281330,0.7074057202,-0.0070347755,0.9998017884,0.0198869660,0.0009446822
0.4249294362,0.0059250905,0.5004185889,0.7064651386,0.0083705645,0.7076486701,-0.0083845876,0.9997178641,0.0236936754,0.0016738832
0.4249054533,0.0068446430,0.5006513328,0.7061192711,0.0096644579,0.7079606513,-0.0096896604,0.9996220274,0.0273682237,0.0026043466
0.4248789546,0.0077234661,0.5009331588,0.7057023534,0.0108983366,0.7083401382,-0.0109390725,0.9995161697,0.0308789169,0.0037308293
0.4248504762,0.0085538291,0.5012625006,0.7052170147,0.0120610828,0.7087852615,-0.0121221093,0.9994024408,0.0341948708,0.0050469848
0.4248206055,0.0093282254,0.5016375226,0.7046662970,0.0131419995,0.7092938106,-0.0132283024,0.9992831933,0.0372861556,0.0065453954
0.4247899653,0.0100394072,0.5020561277,0.7040536299,0.0141308674,0.7098632364,-0.0142474705,0.9991609184,0.0401239332,0.0082176097
0.4247591971,0.0106804197,0.5025159655,0.7033828037,0.0150179977,0.7104906541,-0.0151697581,0.9990381779,0.0426805880,0.0100541823
0.4247289427,0.0112446342,0.5030144426,0.7026579407,0.0157942788,0.7111728463,-0.0159856760,0.9989175309,0.0449298488,0.0120447183
0.4246998252,0.0117257797,0.5035487332,0.7018834644,0.0164512190,0.7119062667,-0.0166861402,0.9988014589,0.0468469035,0.0141779197
0.4246724300,0.0121179734,0.5041157909,0.7010640690,0.0169809830,0.7126870443,-0.0172625115,0.9986922895,0.0484085062,0.0164416347
0.4246472857,0.0124157490,0.5047123615,0.7002046885,0.0173764236,0.7135109874,-0.0177066354,0.9985921214,0.0495930765,0.0188229081
0.4246248454,0.0126140846,0.5053349963,0.6993104654,0.0176311083,0.7143735893,-0.0180108818,0.9985027508,0.0503807925,0.0213080340
0.4246054693,0.0127084274,0.5059800673,0.6983867203,0.0177393414,0.7152700341,-0.0181681852,0.9984256033,0.0507536772,0.0238826093
0.4245894086,0.0126947180,0.5066437819,0.6974389227,0.0176961809,0.7161952036,-0.0181720857,0.9983616694,0.0506956794,0.0265315886
0.4245767906,0.0125694116,0.5073221989,0.6964726622,0.0174974524,0.7171436858,-0.0180167696,0.9983114488,0.0501927500,0.0292393400
0.4245676069,0.0123294978,0.5080112457,0.6954936216,0.0171397584,0.7181097849,-0.0176971116,0.9982749016,0.0492329129,0.0319897019
0.4245617031,0.0119725183,0.5087067350,0.6945075511,0.0166204846,0.7190875337,-0.0172087161,0.9982514096,0.0478063332,0.0347660420
0.4245587723,0.0114965822,0.5094043832,0.6935202436,0.0159378033,0.7200707071,-0.0165479601,0.9982397481,0.0459053813,0.0375513164
0.4245583504,0.0109003790,0.5100998283,0.6925375119,0.0150906739,0.7210528401,-0.0157120345,0.9982380692,0.0435246931,0.0403281324
0.4245598154,0.0101831897,0.5107886490,0.6915651670,0.0140788412,0.7220272473,-0.0146989864,0.9982438983,0.0406612279,0.0430788120
0.4245623900,0.0093448952,0.5114663835,0.6906089974,0.0129028320,0.7229870469,-0.0135077597,0.9982541426,0.0373143215,0.0457854592
0.4245651472,0.0083859825,0.5121285492,0.6896747495,0.0115639487,0.7239251883,-0.0121382344,0.9982651139,0.0334857351,0.0484300301
0.4245670199,0.0073075482,0.5127706620,0.6887681087,0.0100642630,0.7248344833,-0.0105912640,0.9982725658,0.0291796994,0.0509944061
0.4245668132,0.0061112998,0.5133882563,0.6878946817,0.0084066056,0.7257076421,-0.0088687092,0.9982717435,0.0244029517,0.0534604717
0.4245632208,0.0047995548,0.5139769042,0.6870599787,0.0065945565,0.7265373138,-0.0069734688,0.9982574487,0.0191647654,0.0558101951
0.4245548438,0.0033752366,0.5145322361,0.6862693956,0.0046324321,0.7273161307,-0.0049095044,0.9982241170,0.0134769705,0.0580257144
0.4245402125,0.0018418686,0.5150499595,0.6855281978,0.0025252715,0.7280367578,-0.0026818597,0.9981659081,0.0073539619,0.0600894261
0.4245178113,0.0002035655,0.5155258789,0.6848415020,0.0002788202,0.7286919454,-0.0002966730,0.9980768074,0.0008126960,0.0619840787
0.4244861052,-0.0015349777,0.5159559149,0.6842142602,-0.0021004875,0.7292745860,0.0022388194,0.9979507374,-0.0061273287,0.0636928683
0.4244435686,-0.0033684993,0.5163361231,0.6836512417,-0.0046055484,0.7297777736,0.0049162887,0.9977816777,-0.0134441074,0.0651995374
0.4243887147,-0.0052911861,0.5166627127,0.6831570167,-0.0072286125,0.7301948654,0.0077263288,0.9975637905,-0.0211131828,0.0664884753
0.4243201270,-0.0072966925,0.5169320642,0.6827359396,-0.0099613074,0.7305195452,0.0106584835,0.9972915513,-0.0291077191,0.0675448183
0.4242364898,-0.0093781599,0.5171407473,0.6823921320,-0.0127946655,0.7307458857,0.0137012851,0.9969598791,-0.0373985966,0.0683545494
0.4241366198,-0.0115282400,0.5172855375,0.6821294674,-0.0157191525,0.7308684114,0.0168423042,0.9965642669,-0.0459545281,0.0689045960
0.4240194956,-0.0137391191,0.5173634324,0.6819515555,-0.0187246997,0.7308821577,0.0200682128,0.9961009061,-0.0547421958,0.0691829232
0.4238842875,-0.0160025450,0.5173716673,0.6818617288,-0.0218007377,0.7307827270,0.0233648581,0.9955668049,-0.0637264102,0.0691786213
0.4237303834,-0.0183098556,0.5173077295,0.6818630294,-0.0249362324,0.7305663397,0.0267173483,0.9949598952,-0.0728702881,0.0688819869
0.4235574143,-0.0206520098,0.5171693724,0.6819581980,-0.0281197235,0.7302298791,0.0301101480,0.9942791269,-0.0821354492,0.0682845946
0.4233652754,-0.0230196194,0.5169546285,0.6821496647,-0.0313393642,0.7297709278,0.0335271834,0.9935245463,-0.0914822276,0.0673793583
0.4231541443,-0.0254029831,0.5166618208,0.6824395415,-0.0345829625,0.7291877975,0.0369519535,0.9926973564,-0.1008698969,0.0661605818
0.4229244954,-0.0277921226,0.5162895743,0.6828296170,-0.0378380231,0.7284795474,0.0403676485,0.9917999568,-0.1102569039,0.0646239962
0.4226771092,-0.0301768186,0.5158368253,0.6833213538,-0.0410917910,0.7276459946,0.0437572703,0.9908359630,-0.1196011086,0.0627667842
0.4224130779,-0.0325466499,0.5153028306,0.6839158872,-0.0443312933,0.7266877128,0.0471037546,0.9898102029,-0.1288600246,0.0605875913
0.4221338056,-0.0348910321,0.5146871745,0.6846140264,-0.0475433822,0.7256060227,0.0503900930,0.9887286907,-0.1379910579,0.0580865233
0.4218410027,-0.0371992583,0.5139897757,0.6854162577,-0.0507147763,0.7244029708,0.0535994502,0.9875985784,-0.1469517384,0.0552651303
0.4215366762,-0.0394605402,0.5132108919,0.6863227486,-0.0538321004,0.7230813004,0.0567152775,0.9864280861,-0.1556999406,0.0521263794
0.4212231133,-0.0416640502,0.5123511244,0.6873333535,-0.0568819240,0.7216444139,0.0597214182,0.9852264117,-0.1641940907,0.0486746157
0.4209028605,-0.0437989638,0.5114114197,0.6884476200,-0.0598507969,0.7200963273,0.0626022050,0.9840036217,-0.1723933561,0.0449155133
0.4205786973,-0.0458545027,0.5103930719,0.6896647950,-0.0627252827,0.7184416199,0.0653425462,0.9827705256,-0.1802578148,0.0408560190
0.4202536042,-0.0478199777,0.5092977220,0.6909838308,-0.0654919891,0.7166853783,0.0679280019,0.9815385365,-0.1877486038,0.0365042898
0.4199307270,-0.0496848326,0.5081273568,0.6924033904,-0.0681375955,0.7148331381,0.0703448479,0.9803195193,-0.1948280448,0.0318696260
0.4196133356,-0.0514386869,0.5068843064,0.6939218504,-0.0706488778,0.7128908238,0.0725801279,0.9791256300,-0.2014597467,0.0269624032
0.4193047800,-0.0530713792,0.5055712399,0.6955373029,-0.0730127300,0.7108646878,0.0746216936,0.9779691482,-0.2076086861,0.0217940030
0.4190084415,-0.0545730101,0.5041911607,0.6972475542,-0.0752161836,0.7087612520,0.0764582337,0.9768623059,-0.2132412659,0.0163767478
0.4187276825,-0.0559339839,0.5027473995,0.6990501206,-0.0772464244,0.7065872508,0.0780792923,0.9758171134,-0.2183253547,0.0107238377
0.4184657933,-0.0571450504,0.5012436063,0.7009422208,-0.0790908082,0.7043495776,0.0794752773,0.9748451865,-0.2228303094,0.0048492943
0.4182259378,-0.0581973459,0.4996837416,0.7029207647,-0.0807368750,0.7020552367,0.0806374612,0.9739575745,-0.2267269836,-0.0012320889
0.4180110985,-0.0590824323,0.4980720661,0.7049823378,-0.0821723634,0.6997112997,0.0815579740,0.9731645928,-0.2299877247,-0.0075047879
0.4178240218,-0.0597923360,0.4964131286,0.7071231820,-0.0833852255,0.6973248677,0.0822297908,0.9724756594,-0.2325863654,-0.0139525807
0.4176671642,-0.0603195850,0.4947117533,0.7093391717,-0.0843636439,0.6949030404,0.0826467154,0.9718991380,-0.2344982107,-0.0205585698
0.4175426405,-0.0606572451,0.4929730261,0.7116257864,-0.0850960515,0.6924528905,0.0828033609,0.9714421874,-0.2357000273,-0.0273051958
0.4174521747,-0.0607989535,0.4912022792,0.7139780792,-0.0855711552,0.6899814457,0.0826951290,0.9711106192,-0.2361700376,-0.0341742404
0.4173970545,-0.0607389521,0.4894050751,0.7163906416,-0.0857779662,0.6874956762,0.0823181899,0.9709087633,-0.2358879236,-0.0411468216
0.4173780902,-0.0604721176,0.4875871892,0.7188575657,-0.0857058361,0.6850024882,0.0816694625,0.9708393432,-0.2348348439,-0.0482033802
0.4173955789,-0.0599939906,0.4857545918,0.7213724041,-0.0853445019,0.6825087234,0.0807465974,0.9709033610,-0.2329934683,-0.0553236589
0.4174492743,-0.0593008018,0.4839134287,0.7239281282,-0.0846841413,0.6800211635,0.0795479634,0.9710999942,-0.2303480331,-0.0624866773
0.4175383636,-0.0583894970,0.4820700015,0.7265170865,-0.0837154376,0.6775465385,0.0780726373,0.9714265043,-0.2268844199,-0.0696707029
0.4176614514,-0.0572577590,0.4802307470,0.7291309633,-0.0824296591,0.6750915393,0.0763203981,0.9718781600,-0.2225902617,-0.0768532208
0.4178165509,-0.0559040270,0.4784022152,0.7317607413,-0.0808187498,0.6726628327,0.0742917269,0.9724481772,-0.2174550767,-0.0840109057
0.4180010842,-0.0543275145,0.4765910476,0.7343966670,-0.0788754359,0.6702670783,0.0719878103,0.9731276768,-0.2114704318,-0.0911195978
0.4182118901,-0.0525282232,0.4748039542,0.7370282238,-0.0765933459,0.6679109463,0.0694105497,0.9739056644,-0.2046301365,-0.0981542867
0.4184452409,-0.0505069557,0.4730476905,0.7396441135,-0.0739671462,0.6656011346,0.0665625746,0.9747690348,-0.1969304658,-0.1050891067
0.4186968683,-0.0482653242,0.4713290336,0.7422322487,-0.0709926904,0.6633443842,0.0634472600,0.9757026046,-0.1883704100,-0.1118973462
0.4189619978,-0.0458057572,0.4696547584,0.7447797598,-0.0676671813,0.6611474930,0.0600687475,0.9766891764,-0.1789519492,-0.1185514762
0.4192353913,-0.0431315035,0.4680316129,0.7472730186,-0.0639893448,0.6590173234,0.0564319675,0.9777096398,-0.1686803469,-0.1250232010
